id_1636,id_1808,address,id_frick,confidence,mention_1636,mention_1639,mention_1645,material,jurisdiction,note_id,floors,rooms,heated_rooms,chambers,hallways,kitchens,basements,stables,baths,breweries,bakeries,warehouses,stores,inns,other_rooms,owner_profession_raw,renter_profession_raw,guest_profession_raw,title_lt,occupant_profession,occupant_title,occupant_title_region,occupant_title_rank,guest,guest_region,guest_group,source_lt
11,139,Pilies 14,1.11,2,1,,,2,3,,?,?,?,?,?,?,?,?,?,?,?,?,?,0,,žemės teisėjas,?,—,Žemės teisėjo Zenovičiaus mūrnamis,bajoras,teisėjas,Vilniaus žemės teismo,žemės teismas,—,,,"Vilniaus žemės teismo teisėjo Jurgio Jono Zenovičiaus (Zienowicz) mūrnamis, priklauso pilies jurisdikai. Pats name gyvena, pirko iš Andriejaus Fonendo, namas nuo seno atleistas nuo svečių prievolės. Visų pirma dar Steponas Batoras 1576 suteikė privilegiją vengrui Mikalojui Čičkai (Cycer), atleisdamas nuo svečių prievolės tiek per įvairius suvažiavimus, tiek ir lankantis valdovui. Šią privilegiją visais punktais patvirtino Zigmantas Vaza 1589. Trečią kartą [privilegiją] suteikė dabartinis valdovas [Vladislovas Vaza], pagal kurią tarnyboje nusipelniusį teisėją atleido nuo prievolės, taip pat patvirtino pirmtakų privilegiją."
12,138,Pilies 16,1.12,2,1,,,2,1,,2,6,0,1,6,6,8,6,0,1,0,3,1,0,sodas,?,?,LDK virtuvininkas,Joakimo Šrederio mūrnamis,,,,,virtuvininkas,LDK,rūmų,"Joakimo Šrederio (Srzeder) mūrnamis, priklauso miesto jurisdikai. Jame apsistojo LDK virtuvininkas [Paulius Piečichoiskis], o prieš jį jo pirmtakai irgi apsistodavo. Šiame name nedideli aštuoni rūsiai, apačioje trys skliautuoti sandėliai, keturi kambariai ir krautuvė, visi su priemenėmis ir virtuvėlėmis, taip pat alkoholio darykla, arklidė šešiems arkliams laikyti. Antrame aukšte keturi kambariai, kamara, dvi priemenės su virtuvėlėmis. Kiemas erdvus, su sodu gale."
13,137,Pilies 16,1.13,2,1,,1,1,1,,2,13,1,1,8,2,9,2,0,1,1,3,1,0,,Naugardo vaivada;  ?,siuvėjas; ?,LDK raštininkas (anksčiau: Karūnos kanclerio tarnai),Siuvėjo Alberto Vnorovskio namas,siuvėjas,vaivada,Naugarduko,senatas,raštininkas,LDK,ministrai,"[Siuvėjo] Alberto Vnorovskio (Wnorowski, Wrokowski) ir Martyno Panderio (Pander) [medinis] namas su vieneriais vartais, miesto žemėje ir priklauso miesto jurisdikai. Dalis priklauso Naugarduko vaivadai [Mikalojui] Sapiegai, ji užstatyta siuvėjui Vnorovskiui. Pastarasis pateikė dokumentus. Kita dalis – Martyno Panderio nuosavybė. Joje dabar apsistojo LDK raštininkas [Kristupas Korvinas] Gosievskis (Gosiewski), prieš tai buvo Karūnos kanclerio tarnai apsigyvenę. Kairėje namo pusėje šeši rūsiai, du galima naudoti, o keturi vandeniu užlieti. Toje pačioje pusėje, apačioje, trys kambariai su priemene, virtuve, alkoholio darykla ir kepykla. Virš šių kambarių, antrame aukšte, du didesni ir du mažesni kambariai su priemenėmis. Dešinėje pusėje, apačioje, krautuvėlė. Viršuje du kambariai su priemene ir virtuve bei trys sandėliai. Valgomasis su kamara ir priemene bei keturi maži kambarėliai su priemenėle. Šioje pusėje trys rūsiai, tačiau du iš jų apsemti vandeniu. Gale nedidelė arklidė porai arklių laikyti."
14,129,Pilies 18d,1.14,2,1,,,2,1,,2,4,0,1,2,1,1,1,0,1,0,1,0,0,galerija,burmistras,auksakalys,Merkinės seniūnas (anksčiau:Karūnos sekretoriaus kapelionas),Burmistro Jokūbo Radziminovičiaus mūrnamis,auksakalys,burmistras,Vilniaus miesto,taryba,seniūnas,Merkinės,žemietija,"Už Kalvinų gatvės [Vilniaus] burmistro [Jokūbo] Radziminovičiaus (Radziminowicz) mūrnamis, priklauso miesto jurisdikai. Jį nuomoja auksakalys Jonas Grekovičius (Grekowicz). Dabar pagal prievolę apgyvendintas Merkinės seniūnas [Mikalojus Eustachijus Scipionas Kampo (Campo)], prieš tai buvo apsigyvenęs Karūnos sekretoriaus kapelionas. Namo rūsys perskirtas, viena pusė apsemta vandeniu, kitoje sausa. Pirmame aukšte du kambariai, sandėlis ir virtuvė su priemene, kur sidabrą lydo. Antrame aukšte du kambarėliai su nedidele priemene. Apačioje, namo gale, alkoholio darykla, arklidė vienam arkliui laikyti, virš alkoholio daryklos tuščia kamara su galerija."
15,128,Pilies 18d,1.15,2,1,,,2,1,,3,3,0,1,2,1,1,1,0,1,0,0,1,0,galerija,?,auksakalys,Karūnos pakanclerio raštininkai,Tomo Zeligmacherio mūrnamis,auksakalys,,,,pakancleris,Karūnos,ministrai,"Tomo Zeligmacherio (Zeligmacher) mūrnamis, priklauso miesto jurisdikai. Jį nuomojasi auksakalys Juozapas Bogatirovičius (Bohatyrowicz). Pagal prievolę apgyvendinti du Karūnos pakanclerio [Petro Gembickio] raštininkai, prieš tai niekas nebuvo apgyvendintas. Name vienas perskirtas rūsys, tačiau jame būna vandens. Prie vartų krautuvė su nedidele priemene, kambarėlis meistro dirbtuvėms. Viršuje kambarys su kamara, priemene ir virtuvėle, yra galerija. Trečiame aukšte dar nedidelis kambarėlis. Namo gale alkoholio darykla ir nedidelės arklidės vienam arkliui laikyti."
16,127d,Pilies 20,1.16,2,1,,,2,3,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,?,?,(anksčiau: Karūnos pakamaris),Kornelijaus Vinholdo mūrnamis,,,,,—,,,"Kornelijaus Vinholdo (Winold, Winhold) mūrnamis. Jame niekas neapgyvendintas, prieš tai gyveno velionis Karūnos pakamaris [Andriejus] Bobola, o po jo Karūnos pakamaris [Adomas] Kazanovskis. Savininkas parodė privilegiją, pagal kurią valdovas 1633 liepos 23 patvirtino Žygimanto Augusto, Henriko Valua ir Zigmanto Vazos privilegijas. Jos nurodė, kad namas perduodamas pilies jurisdikai ir atleidžiamas nuo prievolės apgyvendinti valdovo dvariškius ir svečius per įvairius suvažiavimus. Taip pat [dabartinis] valdovas skelbia namo savininką savo servitoriumi ir atleidžia nuo svečių prievolės."
17,127d,Pilies 22d,1.17,3,1,,,2,3,,2,7,0,1,6,3,2,8,0,1,0,1,1,0,Vaistinė; pašiūrė daiktams; pašiūrė karietai; sodas,?,vaistininkas?,?,Martyno Kaštelos mūrnamis,gydytojas,,,,?,,,"Mūrnamis su nedideliais vartais, nuomoja Martynas Kaštela (Kasztela). Jame pagal prievolę apsistojo Rejus (Rey), kuris ir prieš tai buvo apsistojęs. Name prie vartų, kairėje pusėje, kambarys su kamara, šalia vaistinė, šalia jos priemenė su virtuvėle. Gale sandėlis, rūsys, yra arklidė aštuoniems arkliams laikyti, viena pašiūrė daiktams sudėti, o kita karietai laikyti. Gale vartai į evangelikų reformatų bažnyčią, kiemas erdvus, su sodu. Šiame kieme yra atskiras kiemas, kuriame stovi gyvenamasis namas. Jo apačioje kambarys su priemene, alkoholio darykla, virtuvė ir rūsys, bet pastarajame daug vandens. Antrame aukšte du kambariai su priemenėmis ir nišomis. Dešinėje pusėje, prie vartų, krautuvė su priemene, viršuje trys kambariai su priemene ir virtuve. Šeimininkas teigė, kad priklauso Žemės teismui, tačiau to [dokumentais] neįrodė."
18,127d,Pilies 22d,1.18,3,1,,,2,3,,3,2,0,2,2,2,1,4,1,1,0,1,2,0,,liuteronų špitolė,?,Karūnos dvasinis referendorius,Liuteronų špitolės mūrnamis,liuteronų dvasininkas,,,liuteronų,dvasinis referendorius,Karūnos,ministrai,"Evangelikų liuteronų špitolės mūrnamis, priklauso pilies jurisdikai. Jį nuomojasi Jonas Laskis (Łaski). Namo apačioje dvi parduotuvės, rūsys ir sandėliukas. Antrame aukšte kambarys su dviem kamaromis, priemene ir virtuve. Trečiame aukšte didelis kambarys su priemene ir virtuve. Gale pirtis, arklidė keturiems arkliams laikyti ir alkoholio darykla. Pagal prievolę apsistojo Karūnos [dvasinis] referendorius [Jokūbas Doruchovskis Viežbenta (Wierzbęta)], prieš tai buvo jo pirmtakas [Henrikas Firlėjus (Firley)] apsigyvenęs. Iki atvykstant valdovui nebuvo niekam užrašyta."
19,126d?,Pilies 24d?,1.19,2,1,,,2,3,,3,7,0,3,5,4,5,6,0,1,0,2,3,0,3*pašiūrė malkoms,?,?,Karūnos pakamaris (anksčiau: Karūnos pasaulietinis referendorius),Trijų šeimininkų mūrnamis,,,,,pakamaris,Karūnos,rūmų,"Trijų šeimininkų mūrnamis, priklauso pilies jurisdikai. Apačioje trys krautuvės, alkoholio darykla, kambarėlis, du sandėliai ir trys rūsiai. Antrame aukšte keturi kambariai su priemenėmis ir virtuvėlėmis, trys kamaros. Trečiame aukšte du kambariai ir priemenė į gatvės pusę. Gale trys nedidelės arklidės, [telpa] po du arklius, trys nedidelės pašiūrės malkoms sukrauti, du sausi rūsiai. Pagal prievolę apgyvendintas Karūnos pakamaris [Adomas Kazanovskis], kuris ir grįždamas iš Maskvos čia gyveno. Vykdamas į Maskvą buvo apsistojęs Karūnos [pasaulietinis] referendorius [Jonas] Lipskis. Šeimininkai teigė, kad tai vienas namas ir priklauso špitolei, pateikė atleidimą nuo svečių prievolės, išskyrus valdovo lankymosi metą."
20,126d,Pilies 24d,1.20,2,1,,,2,1,,2,4,0,4,2,0,2,0,0,2,0,2,2,0,galerija malkoms,tarėjas,audinių/odos pirkliai?,Žemaičių vyskupas (anksčiau: valdovo siuvėjai),Tarėjo Andriejaus Snarskio mūrnamis,audėjas|pirklys ,tarėjas,Vilniaus miesto,taryba,vyskupas,Žemaičių,senatas,"[Vilniaus tarėjo] Andriejaus Snarskio (Snarski) mūrnamis, priklauso miesto jurisdikai. Apačioje, prie vartų, didelė audinių krautuvė, kairėje pusėje odos krautuvė, prie kurių du sandėliai, du rūsiai iš gatvės pusės, viename iš jų pilsto vyną. Yra galerija malkoms sukrauti. Viršuje kambarys į gatvės pusę su kamaromis iš abiejų pusių. Šonuose kampuose trys kambariai su dviem kamarėlėmis ir nedidelėmis priemenėmis bei virtuvėlėmis. Kiemas mažas. Pagal prievolę užrašyta Žemaičių vyskupui [Jurgiui Tiškevičiui], prieš tai buvo apgyvendinti valdovo siuvėjai. Šeimininkas parodė 1561 m. Žygimanto Augusto išduotą privilegiją, pagal kurią namas atleidžiamas nuo svečių prievolės per viešus susirinkimus."
21,125,Pilies 26,1.21,2,1,,,2,1,,2,4,0,2,2,2,1,4,0,1,0,1,2,1,galerija malkoms,daktaras (našlė),knygrišys; Rečicos seniūnas,LDK kancleris,Daktaro Arnolto našlės mūrnamis,daktaras|knygrišys,,,,kancleris,LDK,ministrai,"Daktaro škoto [Jokūbo] Arnolto (Arnolt, Arnoth) našlės mūrnamis, priklauso miesto jurisdikai. Jo apačioje dvi krautuvės – viena knygrišio, kita tuščia. Yra smuklės kambarys, sandėlis, alkoholio darykla, arklidė keturiems arkliams laikyti, galerija malkoms sukrauti, rūsys. Kiemas ankštas. Antrame aukšte keturi kambariai su dviem kamaromis, priemenėmis ir virtuvėmis. Apsigyvenęs Rečicos seniūnas su jaunesniu broliu, kuris lanko mokyklą. Pagal prievolę užrašyta LDK kancleriui [Albertui Stanislovui] Radvilai, prieš tai niekas neapsistodavo. Šeimininkė nepateikė jokios privilegijos, tik teigė, kad jos vyras buvo burmistru ir tarnavo valdovui."
22,124,Pilies 28,1.22,2,1,1,,2,1,,2,1,0,1,2,1,1,0,0,0,0,1,1,0,,daktaras,?,Karūnos pasaulietinis referendorius,Daktaro Pauliaus Katerlio mūrnamis,daktaras,,,,pasaulietinis referendorius,Karūnos,ministrai,"Daktaro [Pauliaus] Katerlio (Katerle) mūrnamis, priklauso miesto jurisdikai. Jo apačioje krautuvė su krosnimi, priemenė, virtuvė ir sandėlis, vienas rūsys. Antrame aukšte kambarėlis su viena kamara, nedidele priemene. Kiemas labai ankštas. Anksčiau niekas nebuvo apgyvendintas, dabar pagal prievolę apsistojo Karūnos pasaulietinis referendorius [Remigijus Zaleskis], tačiau turi nekuklų ir ne pagal pareigas tarnų skaičių. Savininkas parodė Vilniaus miestiečiams skirtą dabartinio valdovo raštą, kuriame nurodyta, jog nei anksčiau, nei dabar neapgyvendintų svečių šiame name."
23,123,Pilies 30,1.23,2,1,,,2,1,,2,3,0,1,4,1,1,0,0,0,0,1,1,0,,?,?,Karūnos kanceliarijos regentas (anksčiau: Kernavės seniūnas),Vilhelmo Dereslo mūrnamis,,,,,kanceliarijos regentas,Karūnos,ministrai,"Paskutinis kampinis Vilhelmo Albertaičio Dereslo (Deresl Olbrychtowicz, Dresler) mūrnamis, priklauso miesto jurisdikai. Iš Žyminskio (Rzymiński) namą nuomojasi Mykolas Šulcas (Szolc). Jame iš gatvės, kuri veda link evangelikų reformatų bažnyčios, varteliai, apačioje krautuvė su priemene ir sandėliu. Kitoje pusėje kambarys su priemene ir virtuve. Vienas rūsys, su dviem pertvaromis. Viršuje kambarys į gatvės pusę su kamara ir priemene. Kitoje pusėje, viršuje, kambarys su kamara. Kernavės seniūnui užleidus, apsistojo Karūnos kanceliarijos regentas [Jonas Lipskis]."
24,110,Pilies 32,1.24,2,1,,,2,3,,2,7,3,1,4,2,0,0,0,1,0,1,2,0,,barzdaskutys (našlė),?,Karūnos iždo raštininkas (anksčiau: valdovo dvariškiai),Barzdaskučio Melerio našlės mūrnamis,barzdaskutys,,,,iždo raštininkas,Karūnos,ministrai,"Velionio barzdaskučio Petro [Melerio] mūrnamis. Jame gyvena jo našlė, kuri teigė, jog namas priklauso pilies jurisdikai. Apačioje, kairėje pusėje, kambarys iš gatvės pusės su priemene ir virtuve, šalia kambarys su kamara, sandėliu ir alkoholio darykla. Dešinėje pusėje dvi krautuvės iš gatvės pusės, kambarys su priemene ir šildomu kambariu. Antrame aukšte vienoje pusėje du į gatvę išeinantys gražūs kambariai su šildomu kambariu ir priemene. Kitoje pusėje, viršuje, taip pat į gatvės pusę nemažas kambarys su priemene, virtuve, o priešais jį kambarys su šildomu kambariu. Pagal prievolę apsigyveno Karūnos iždo raštininkas [Tomas] Leženskis (Leżeński), ir prieš tai visada būdavo paskiriama valdovo dvarui."
25,109,Pilies 34,1.25,2,1,,,2,1,,2,2,2,0,2,2,1,1+,0,0,0,1,1,0,pašiūrė,siuvėjų cechas,knygrišys,Karūnos kanceliarijos regento tarnai (anksčiau: Karūnos iždo raštininkas),Siuvėjų cecho mūrnamis,siuvėjas|knygrišys,,,,kanceliarijos regentas,Karūnos,ministrai,"Siuvėjų cecho mūrnamis, funduotas Šv. Jono bažnyčios [Šv. Onos] Siuvėjų koplyčiai, kuriai kasmet moka 50 auksinų činšą. Priklauso miesto jurisdikai. Namą nuomojasi knygrišys Jokūbas Kruncijus (Kruncius). Jame iš gatvės pusės krautuvė su priemene ir virtuve, prie jos sandėlis. Viršuje kambarys su šildomu kambariu, kurio langai išeina į gatvę. Priešais jį erdvi priemenė su virtuve ir kambarėlis su šildomu kambariu. Vienas rūsys, gale maža arklidė su pašiūre. Prieš tai buvo apsigyvenęs kunigas [Karūnos iždo raštininkas Tomas] Leženskis, o dabar pagal prievolę apsistojo Karūnos kaceliarijos regento [Jono Lipskio] tarnai."
26,108?,Pilies 36?,1.26,3,1,,1,2,1,,2,4,2,0,3,2,2,6,0,1,0,4,2,0,,?,?,Karūnos paarklidininkio tarnai (anksčiau: Karūnos pakamaris),Jokūbo Desauzo mūrnamis,,,,,paarklidininkis,Karūnos,rūmų,"Prancūzo Jokūbo Desauzo (Desaus) mūrnamis, priklauso miesto jurisdikai. Prieš tai pagal prievolę buvo apsistojęs Karūnos pakamaris, o dabar apsistoję to paties Karūnos paarklidininkio [Rapolo Grochovskio] tarnai. Namo apačioje, vienoje pusėje, krautuvė su sandėliu ir priemene bei kambarėliu. Kieme pristatytas medinis kambarėlis, arklidė šešiems arkliams laikyti, alkoholio darykla, rūsys. Kitoje pusėje krautuvė, trys sandėliukai su priemene ir rūsiu. Viršuje, šioje pusėje, kambarys su šildomu kambariu, priemene ir virtuvėle. Šalia kambarys su šildomu kambariu ir virtuvėlė. Turi dabartinio valdovo privilegiją, pagal kurią iki savo gyvenimo pabaigos atleidžiamas nuo svečių prievolės, išskyrus lankantis valdovui, kadangi pats iš naujo pastatė mūrnamį."
27,107?,Pilies 38?,1.27,3,1,1,,2,1,,2,5,0,1,3,3,1,0,0,1,0,1,0,1,,bajoras,tapytojas,Karūnos dvasinio referendoriaus tarnai,Mykolo Budzilovičiaus mūrnamis,bajoras|tapytojas,,,,dvasinis referendorius,Karūnos,ministrai,"Bajoro Mykolo Budzilovičiaus (Budziłowicza) mūrnamis, priklauso miesto jurisdikai. Jį nuomojasi tapytojas Ferdinandas. Anksčiau niekas nebuvo apgyvendintas, dabar pagal prievolę apsistojo Karūnos [dvasinio] referendoriaus [Jokūbo Doruchovskio Viežbentos] tarnai. Namo apačioje, prie vartų, vienoje pusėje smuklė su priemene, virtuvėle ir rūsiu, taip pat sandėlis su kambariu ir alkoholio darykla. Kitoje vartų pusėje kambarys iš gatvės pusės, gilyn į kiemo pusę kitas kambarys su priemene ir virtuvėlė, priešais kamara. Antrame aukšte du kambarėliai su priemene ir virtuvėlė. Buvo parodyta Žygimanto Augusto dar prieš [Liublino] uniją suteikta privilegija, pagal kurią namas atleidžiamas nuo svečių apgyvendinimo."
28,106?,Pilies 40?,1.28,2,1,,,2,1,,1,3,1,1,2,2,1,1,0,1,0,0,0,1,galerija,siuvėjas,?,?,Mykolo Klonkovskio mūrnamis,siuvėjas,,,,?,,,"Mykolo Klonkovskio (Klonkowski, Klonczewski, Kłonowski) mūrnamis, priklauso miesto jurisdikai. Prieš tai niekas nebuvo apgyvendintas, nes namas nebuvo pastatytas. Pastačius namą, pagal prievolę apgyvendintas senasis Osinskis (Osiński), kuris savo lėšomis prisidėjo prie namo sumūrijimo. Name, prie vartų, vienas perskirtas kambarys, smuklės kambarys su šildomu kambariu, prie jo priemenė ir virtuvėlė, alkoholio darykla ir kamara, arklidė vienam arkliui laikyti, viršuje taip pat perskirtas kambarys iš gatvės pusės su galerija. Kitoje vartų pusėje medinis kambarėlis su priemene ir virtuvėlė, rūsys iš gatvės pusės."
29,105?,Pilies 42?,1.29,3,1,,,1,,,2,3,1,0,1,1,2,4,0,0,0,1,0,0,pašiūrė malkoms,Išganytojo cerkvė,?,namų skirstytojo arkliai,Išganytojo cerkvės špitolės namas,unitų dvasininkas,,,unitų,namų skirstytojas,,dvaro,"Špitolės [medinis] namas, priklausantis Išganytojo cerkvei, nuo seno atleistas nuo prievolių. Anksčiau niekas nebuvo apsistojęs, dabar laikomi namų skirstytojo arkliai. Namo apačioje vienas gyvenamasis kambarys, gale namo, priešais vartus, vienas kambarys su šildomu kambariu, priemene ir virtuvėle, kitoje pusėje sandėlis. Po namu du rūsiai, kieme arklidė keturiems arkliams laikyti, pašiūrė malkoms sukrauti, virš kurios mažas kambarėlis."
30,104?,Pilies 42?,1.30,2,1,1,,2,1,,2,6,0,0,4,1,2,0,0,1,0,0,7,1,galerija,pirklys (našlė),?,namų skirstytojas,Pauliaus Žuko našlės mūrnamis,pirklys,,,,namų skirstytojas,,dvaro,"Kampinis mūrnamis einant iš pilies į Rotušės aikštę, Pauliaus Žuko našlės (Żukowa) nuosavybė, priklauso miesto jurisdikai. Namo apačioje, abipus vartų, du gyvenamieji kambariai, keturios krautuvės, kambarys su priemene ir virtuvėle. Antras smuklės kambarys su priemene ir rūsiu. Kitoje [vartų] pusėje, iš gatvės pusės, trys krautuvės, medinis kambarys su priemene, alkoholio darykla ir rūsiu. Viršuje du kambarėliai su priemene ir galerija."
31,103?,,1.31,2,1,1,0,2,,,1,1,0,1,1,1,1,1,0,1,0,0,10,0,,jėzuitai,pirkliai?,—,Jėzuitų namas,pirklys,,,katalikų,—,,,"Jėzuitų namas. Mūrnamio gilumoje kambarys su kamara, priemene, virtuvėle, rūsiu, alkoholio darykla ir arklide vienam arkliui laikyti. Į Pilies gatvės pusę yra dešimt prekyviečių. Niekas nebuvo anksčiau apsistojęs ir dabar neapsistojo, nes nėra kur."
32,79?,,1.32,,1,,,2,1,,2,2,0,2,2,2,1,0,0,0,0,1,1,0,,auksakalys (našlė?),?,LDK kanclerio tarnai (anksčiau: dekretų raštinikas),Auksakalio Jokūbo Moro mūrnamis,auksakalys,,,,kancleris,LDK,ministrai,"Velionio [auksakalio Jokūbo] Moro mūrnamis, priklauso miesto jurisdikai. Namo apačioje auksakalio prekyvietė su priemene, nedideliu sandėliu ir virtuve. Po namu vienas rūsys. Antrame aukšte, iš gatvės pusės, du kambariai su kamaromis, priemene ir virtuvėle. Apsistojo LDK kanclerio [A. S. Radvilos] tarnai, prieš tai gyveno dekretų raštininkas."
